Let's try something.	Mari kita coba sesuatu.
I laughed so much, I thought I could die.	Aku kebanyakan ketawa, sampai mau mati rasanya.
Tom is a man you can trust.	Tom laki-laki yang bisa kamu percaya.
I've never said that.	Saya tidak pernah mengatakan itu.
He has finished his work.	Dia sudah menyelesaikan pekerjaannya.
She has finished her work.	Dia sudah menyelesaikan pekerjaannya.
I have never said that.	Saya tidak pernah mengatakan itu.
Translate this sentence.	Terjemahkan kalimat ini.
This is true!	Ini betul!
Excuse me sir, could you tell me where the place of the cinema located?	Permisi bapak, bisakah Anda memberitahukan saya di mana tempat bioskop berada ?
They work very hard every day.	Mereka bekerja sangat keras sehari-hari.
Be strong like a rock.	Jadilah kuat seperti karang.
Let me try!	Biarkan saya mencoba!
I am Ricardo.	Saya Ricardo.
I haven't had lunch yet.	Aku belum makan siang.
You made a joke that wasn't funny.	Kamu membuat lelucon yang tidak lucu.
Love is never wrong.	Cinta tak pernah salah.
I can't read my own handwriting.	Tulisan sendiri pun tak dapat saya baca.
What's the best way to do that?	Apa cara terbaik melakukan itu?
The job fit Layla like a glove.	Pekerjaan ini pas untuk Layla bagai sarung tangan.
Did anyone force you to do that?	Apakah ada orang yang memaksa kamu melakukan itu?
Sit.	Duduklah.
Sit!	Duduk!
Aren't you still living in Boston?	Bukannya kamu masih tinggal di Boston?
Fuck you.	Keparat kau.
I've never seen the sea.	Saya belum pernah melihat laut.
Can we get Tom to do that?	Apakah kita bisa membuat Tom melakukan itu?
I wish I wasn't married.	Saya harap saya belum menikah
I was just about to eat.	Saya sudah hampir mau makan.
Tom was looking for help.	Tom sedang mencari pertolongan.
Tom was anxious to leave.	Tom cemas untuk pergi.
I tried doing just that.	Saya telah mencoba melakukan hal tersebut.
Tom tried to defend Mary.	Tom mencoba untuk melindungi Mary.
Tom was out with his friends.	Tom sedang pergi bersama dengan temannya.
I have the right to express my opinion!	Saya punya hak untuk menyatakan pendapat saya!
Die.	Matilah.
Give me your arrow.	Berikan padaku panahmu.
Actually, I've already done that.	Sebenarnya, aku telah melakukan itu.
Tom might not have enough money to buy what he needs.	Tom mungkin tidak punya cukup uang untuk membeli apa yang ia butuhkan.
Tom may not have enough money to buy what he needs.	Tom mungkin tidak punya cukup uang untuk membeli apa yang ia butuhkan.
Tom said doing that would be a good idea.	Tom bilang, hal itu merupakan ide bagus
Which team is winning?	Tim mana yang menang?
Tom is always healthy.	Tom selalu sehat.
I wonder why Tom needs that.	Saya heran mengapa Tom membutuhkannya.
Tom's hands are large.	Tangan Tom besar.
The delicious roast pork.	Babi guling yang enak.
I'm sorry I wasn't able to do that for you.	Maaf saya tidak bisa membantumu melakukan itu.
Mary moved home to be with her parents.	Mary pindah rumah untuk tinggal bersama orang tuanya.
Sami has to be careful with that.	Sami harus berhati-hati dengan itu.
"In my vision, I heard an eagle, calling aloud as it flew high overhead, 'Disaster, disaster, disaster, on all the people on earth at the sound of the other three trumpets which the three angels have yet to blow!'"	Lalu aku melihat: aku mendengar seekor burung nasar terbang di tengah langit dan berkata dengan suara nyaring: “Celaka, celaka, celakalah mereka yang diam di atas bumi oleh karena bunyi sangkakala ketiga malaikat lain, yang masih akan meniup sangkakalanya.”
Sex by the fire at night	Nges*k dengan gelora malam ini
I will never make a promise that I can't keep	Aku tak akan pernah membuat janji kalau aku tak bisa menepatinya
It seems like Tom and Mary don't really want to do that.	Sepertinya Tom dan Mary tidak benar-benar ingin melakukannya.
Tom is in the car.	Tom sedang berada di dalam mobil.
Tom is home now.	Tom sedang di rumah sekarang.
Sometimes, you need to be alone. Not to be lonely, but to enjoy some free time just being yourself.	Terkadang, kamu harus sendirian. Bukan untuk kesepian, tapi untuk menikmati waktu luang hanya menjadi dirimu sendiri.
How long will you be away, Tom?	Berapa lama kamu akan pergi, Tom?
When did you learn to make pizza?	Kapan kamu belajar membuat pizza
Tom is thirteen years old.	Tom berumur tiga belas tahun.
Tom isn't able to swim.	Tom tidak bisa berenang.
Sami can change himself.	Sami bisa mengubah dirinya sendiri.
Drink water.	Minum air.
Tom was punished for not telling the truth.	Tom dihukum karena tidak berkata jujur.
Sami and Layla were friends with Salima.	Sami dan Layla berteman dengan Salima.
Do not disparage that man.	Jangan meremehkan bapak itu.
Time is valuable.	Waktu itu berharga.
Do you work out regularly?	Apakah kamu berolahraga secara rutin?
You don't need to shout.	Kamu tidak perlu berteriak
I just assumed Mary was Tom's girlfriend.	Saya beranggapan bahwa Mary adalah pacarnya Tom
I just assumed that Mary was Tom's girlfriend.	Saya beranggapan bahwa Mary adalah pacarnya Tom
There are still people who can't read.	Masih ada orang-orang yang tidak bisa membaca.
Tom earns more money in an hour than I do in a week.	Tom menghasilkan lebih banyak uang dalam 1 jam dibandingkan apa yang saya hasilkan dalam 1 minggu.
I am studying again.	Saya lagi belajar.
Studying Indonesian is easy.	Belajar bahasa Indonesia itu mudah.
In my opinion, studying Indonesian is easy.	Pelajaran bahasa Indonesia menurut saya mudah.
Who's your favourite actor?	Siapa aktor favoritmu?
Tom is exactly the same age as you.	Tom itu seumuran dengan mu
Tom's face was pale.	Muka tom pucat
No one noticed till it was too late.	Tak ada seorangpun yang menyadarinya saat itu. Pada saat ada yang menyadarinya, itu sudah terlambat
Tom was in seventh heaven.	Tom sudah ada di langit ketujuh
The actor couldn't remember his lines.	Aktor tidak dapat mengingat dialognya
I guess the laundry isn't getting done tonight.	Sepertinya, cuciannya tak akan selesai malam ini
I haven't received any email today.	Hari ini, saya belum mendapat e-mail apapun.
Tom is always telling Mary that he loves her.	Tom selalu meyakinkan Mary bahwa dia benar-benar mencintainya
Tom has been meaning to clean out his badly cluttered garage for years.	Tom berniat untuk membersihkan garasinya yang sudah tidak dibersihkan selama bertahun tahun
Tom left about an hour ago with Mary.	Tom pergi sejam yang lalu dengan Mary
I remember seeing that movie.	Saya ingat dulu pernah nonton film itu
That doesn't interest me anymore.	Saya tidak tertarik lagi dengan itu
You didn't sign all the documents.	Kamu tidak menandatangani semua dokumennya
A black cat is eating a white mouse.	Kucing hitam sedang memakan tikus putih.
I like science fiction novels.	Aku suka novel fiksi ilmiah.
Where is my pen?	Di mana pulpenku?
I did it with my eyes closed.	Saya melakukannya dengan mata tertutup.
How can copyright laws be enforced?	Bagaimana undang-undang hak cipta bisa ditegakkan?
I didn't think we needed to wait for Tom.	Saya rasa kita tidak perlu menunggu Tom.
Who is your favourite actor?	Siapa aktor favoritmu?
It is food.	Ini adalah makanan.
This is the first time we've given a concert in Australia.	Ini kali pertama kami mengadakan konser di Australia.
My hometown is the best in the world.	Kampung halamanku adalah yang terbaik di dunia.
You drink water.	Kamu minum air.
You drink that.	Kamu minum itu.
Sami ran into Layla's bedroom.	Sami berlari ke kamar tidur Layla.
Sami will know what happened afterwards.	Sami akan tahu apa yang terjadi kemudian.
Today I can see the mountain clearly.	Hari ini aku bisa melihat gunung itu dengan jelas.
Have you ever been a teacher?	Pernahkah kamu menjadi guru?
Tom is very different from his father.	Tom sangat berbeda dari ayahnya.
Tom is lame in his right foot.	Kaki kanan Tom lumpuh.
Mary is lame in her left foot.	Kaki kiri Mary lumpuh.
Tom deserves punishment.	Tom pantas dihukum.
Let the doctor be old, and the barber young.	Biarlah si dokter menjadi tua, dan si tukang pangkas muda.
Knowledge has no enemy except an ignorant person.	Pengetahuan tidak punya musuh kecuali orang yang tidak peduli.
No littering.	Dilarang buang sampah sembarangan.
My little jokes are not to his taste.	Candaan kecil aku tidak sesuai dengan selera dia.
Did anybody force you to do that?	Apakah ada orang yang memaksa kamu melakukan itu?
No one understands Omar's gibberish.	Tidak ada yang mengerti omong kosong Omar.
Mary can rest as long as she wants to.	Maria dapat beristirahat selama yang dia mau.
He's waving his arms.	Ia melambaikan tangannya.
He admitted he'd been wrong.	Dia mengakui dirinya bersalah.
She says she's not lazy.	Katanya dia tidak malas.
I'll talk about poems.	Aku akan membicarakan puisi - puisi.
Tiriza is a portuguese name.	Tiriza adalah nama dari portugal
They said that they thought that I was lazy.	Mereka berkata bahwa mereka mengira saya pemalas.
Where did Tom get all that money from?	Tom mendapatkan uang itu semua dari mana?
Tom forgot to go to the meeting.	Tom lupa mengikuti rapat.
We are going to be working in Osaka next year.	Kami akan bekerja di Osaka tahun depan.
How is your name spelled?	Bagaimana mengeja namamu.
What is pottery?	Apa itu tembikar?
Don't let Tom look at these pictures.	Jangan biarkan Tom melihat foto-foto ini.
I'm usually punctual.	Saya terbiasa tepat waktu.
I'm fed up with everything and everybody.	Aku muak dengan semua hal dan semua orang.
Like me, he often goes to Nunukan for holidays.	Kayak gue, dia sering liburan ke Nunukan.
Hey, I'm tellin' ya! You don't deserve with Radit! I'm the one who deserve it! Got it? Talk to the hand!	He! Gue bilangin ya! Lu nggak pantes sama Radit! Gue yang pantes! Ngerti? Ngomong sama tangan!
You are going to let the fear of poverty govern your life and your reward will be that you will eat, but you will not live.	Kau bisa saja membiarkan rasa takut akan kemiskinan mengatur hidupmu dan pahalanya adalah apa yang akan kau makan, tetapi Kau tidak hidup.
My parents always make me do my homework before I go out.	Orang tua saya selalu membuat saya PR sebelum saya keluar.
Sebatik Island is a border area between Indonesia and Malaysia.	Pulau Sebatik merupakan daerah perbatasan Indonesia-Malaysia.
Malaysia borders Indonesia.	Malaysia berbatasan dengan Indonesia.
Tom is eating alone.	Tom sedang makan sendirian.
Just pray.	Berdoalah saja.
It didn't just happen. We made it happen.	Hal itu tidak terjadi begitu saja. Kami membuatnya terjadi.
Other produce includes coal, coconuts, sugar cane, pineapples , tobacco, vegetables, sago, tapioca, coffee, tea, maize, and groundnuts.	Hasil bumi lainnya termasuk batu bara, kelapa, tebu, nanas, tembakau, sayuran, sagu, tapioka, kopi, teh, jagung, dan kacang tanah.
I don't know why God gives us 10 fingers, because we only need three.	Aku tidak tau mengapa Tuhan memberi kita 10 jari, karena kita hanya butuh tiga.
Because I don't think people would believe a dead woman.	Karena aku tidak berpendapat bahwa semua orang akan mempercayai wanita mati.
I can't talk because I'm in the elevator full of people.	Aku tak bisa bicara karena sedang di lift yang sesak.
Stay home.	Tinggal di rumah.
I'm proud to be a teacher.	Saya bangga menjadi seorang guru.
It is fun to play cards.	Bermain kartu itu menyenangkan.
The airplane took off on schedule.	Pesawatnya lepas landas sesuai jadwal.
Lately, my laptop keeps getting errors and I don't know the cause.	Akhir-akhir ini laptopku terus-menerus mengalami galat dan aku tidak tahu penyebabnya.
Who has helped them?	Siapa yang telah menolong mereka?
I'll let you win for once.	Aku akan membiarkan kamu menang untuk sekali ini.
Tom won't be mad at us.	Tom tidak akan marah kepada kita
All the leaves have fallen.	Semua daun-daunnya sudah berguguran.
The coffee is imported directly from the Netherlands	Kopi itu diimpor langsung dari Belanda
I'll complain to Tom.	Tom dihukum mati saat subuh.
You don't count.	Kamu tidak menghitung
Tom was executed at dawn.	Tom dieksekusi saat subuh.
You can't blame him for what he did.	Kamu tidak bisa menyalahkan dia karena apa yang dia lakukan.
My mother is fine.	Ibu saya baik-baik saja.
We didn't dare to ask Tom.	Kami tidak berani untuk bertanya kepada Tom.
Don't remind me!	Jangan ingatkan aku!
If Tom wants to go, let him.	Jika Tom ingin pergi, biarkan dia.
Don't go against your father.	Jangan melawan ayahmu.
Even a child can answer the question.	Bahkan seorang anak pun bisa menjawab pertanyaan itu.
Could I borrow your car?	Bolehkah aku meminjam mobilmu?
I can come tomorrow.	Saya bisa datang besok.
Earth is a beautiful planet.	Bumi adalah planet yang indah.
That's not a cat. That's a dog.	Itu bukan kucing, itu anjing.
Are they friends?	Apa mereka berteman?
I want eternal life!	Aku ingin hidup abadi!
China shares borders with Pakistan, India, Afghanistan, Tajikistan, Kyrgyzstan, Kazakhstan, North Korea, Laos, Vietnam, Nepal, Bhutan, Myanmar, Mongolia and Russia.	Tiongkok berbatasan dengan Pakistan, India, Afganistan, Tajikistan, Kirgiztan, Kazakstan, Korea Utara, Laos, Vietnam, Nepal, Bhutan, Myanmar, Mongolia, dan Rusia.
The "One Piece" manga is very popular in Malaysia.	Manga "One Piece" sangat populer di Malaysia.
My cat barks.	Kucingku menggonggong.
Go to the doctor at once!	Pergi ke dokter sekarang juga!
The reform of the Chinese healthcare system is an acknowledgement of its failure.	Reformasi sistem pelayanan kesehatan Tiongkok adalah sebuah pengakuan atas kegagalannya.
It is a bird.	Itu burung.
Look! A flying cockroach!	Lihat! Kecoak terbang!
On which side do I have to put the fork?	Di sisi mana aku harus meletakkan garpunya?
After lunch we went to ski.	Setelah makan siang, kami pergi bermain ski.
If you turn here, you can probably avoid a lot of traffic.	Kalau kamu belok ke sini, mungkin kamu bisa terhindar dari kemacetan.
You look quite sick.	Kamu kelihatan agak sakit.
Have you ever had a head injury?	Apakah Anda pernah mengalami cedera kepala?
Many infected people don't even feel sick.	Bahkan banyak orang yang tertular yang tidak merasakan gejala apapun.
